"Package","r-develLinuxx86_64(Debian Clang)","r-develLinuxx86_64(Debian GCC)","r-develLinuxx86_64(Fedora Clang)","r-develLinuxx86_64(Fedora GCC)","r-develmacOSarm64","r-develmacOSx86_64","r-develWindowsx86_64","r-oldrelmacOSarm64","r-oldrelmacOSx86_64","r-oldrelWindowsx86_64","r-patchedLinuxx86_64","r-releaseLinuxx86_64","r-releasemacOSarm64","Maintainer","Priority"
"adaR","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","David Schoch <david at schochastics.net>",""
"edgebundle","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","David Schoch <david at schochastics.net>",""
"graphlayouts","","","","","","","","NOTE","","","","","","David Schoch <david at schochastics.net>",""
"graphlayouts","OK","OK","OK","OK","OK","OK","OK","","NOTE","OK","OK","OK","NOTE","David Schoch <david at schochastics.net>",""
"netrankr","","","","","","","","NOTE","","","","","","David Schoch <david at schochastics.net>",""
"netrankr","OK","OK","OK","OK","OK","OK","OK","","NOTE","OK","OK","OK","NOTE","David Schoch <david at schochastics.net>",""
"netUtils","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","David Schoch <david at schochastics.net>",""
"oaqc","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","David Schoch <david at schochastics.net>",""
"PSAWR","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","David Schoch <david at schochastics.net>",""
"rchroma","","OK","OK","OK","","OK","OK","","OK","OK","OK","OK","","David Schoch <david at schochastics.net>",""
"roughnet","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","David Schoch <david at schochastics.net>",""
"roughsf","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","David Schoch <david at schochastics.net>",""
"rtoot","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","David Schoch <david at schochastics.net>",""
"Rtumblr","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","David Schoch <david at schochastics.net>",""
"signnet","","","","","","","","OK","","","","","","David Schoch <david at schochastics.net>",""
"signnet","OK","OK","OK","OK","OK","OK","OK","","OK","OK","OK","OK","NOTE","David Schoch <david at schochastics.net>",""
"snahelper","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","David Schoch <david at schochastics.net>",""
"webtrackR","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","David Schoch <david at schochastics.net>",""
